timestamp;start_timestamp;end_timeout_bigvolume;end_timeout_mean_reversion;big_volume;total_volume;total_bid;total_ask;bid_ask_ratio;num_levels_moved;close;mean_level_up;mean_level_down;open;high;low;price_change;price_change_pct;num_price_levels;price_range;poc_price;poc_volume;profile_bid_volume;profile_ask_volume;profile_total_volume;profile_bid_ask_ratio;tick_count;sma
2025-09-15 14:15:55.404;2025-09-15 14:15:55.404;2025-09-15 14:25:55.404;2025-09-15 14:18:55.404;True;299;3;296;0,0101351351351351;5;24393,0;24403,0;24383,0;24392,25;24399,75;24392,0;1,25;0,0051246835507907;32;7,75;24394,25;22,0;3,0;296,0;299,0;0,0101351351351351;274;24389,1025
2025-09-15 15:30:00.404;2025-09-15 15:30:00.404;2025-09-15 15:40:00.404;2025-09-15 15:33:00.404;True;207;5;202;0,0247524752475247;1;24418,25;24428,25;24408,25;24418,0;24420,0;24417,5;0,25;0,0010238348759112;11;2,5;24418,75;36,0;8,0;202,0;210,0;0,0396039603960396;192;24416,69
2025-09-15 15:30:01.404;2025-09-15 15:30:01.404;2025-09-15 15:40:01.404;2025-09-15 15:33:01.404;True;237;132;105;1,2571428571428571;-10;24415,75;24425,75;24405,75;24419,0;24420,0;24414,25;-2,5;-0,0102382439364;23;5,75;24414,75;32,0;132,0;105,0;237,0;1,2571428571428571;225;24416,72875
2025-09-15 15:49:07.404;2025-09-15 15:49:07.404;2025-09-15 15:59:07.404;2025-09-15 15:52:07.404;True;449;289;160;1,80625;25;24473,25;24483,25;24463,25;24467,5;24475,0;24467,5;6,25;0,0255446111088404;31;7,5;24472,25;137,0;289,0;160,0;449,0;1,80625;325;24459,24125
2025-09-15 16:30:03.404;2025-09-15 16:30:03.404;2025-09-15 16:40:03.404;2025-09-15 16:33:03.404;True;320;91;229;0,3973799126637554;-70;24481,25;24491,25;24471,25;24498,5;24498,5;24478,25;-17,5;-0,0714322159293841;78;20,25;24484,0;17,0;91,0;229,0;320,0;0,3973799126637554;285;24495,58125
2025-09-15 16:30:20.404;2025-09-15 16:30:20.404;2025-09-15 16:40:20.404;2025-09-15 16:33:20.404;True;208;114;94;1,2127659574468086;31;24495,5;24505,5;24485,5;24488,0;24497,25;24487,75;7,75;0,0316484772998744;36;9,5;24495,0;15,0;114,0;94,0;208,0;1,2127659574468086;179;24495,555
2025-09-15 17:00:01.404;2025-09-15 17:00:01.404;2025-09-15 17:10:01.404;2025-09-15 17:03:01.404;True;415;363;52;6,980769230769231;18;24508,25;24518,25;24498,25;24504,0;24513,75;24504,0;4,5;0,0183645360404019;39;10,0;24506,75;58,0;365,0;52,0;417,0;7,019230769230769;334;24498,89625
2025-09-15 17:41:08.404;2025-09-15 17:41:08.404;2025-09-15 17:51:08.404;2025-09-15 17:44:08.404;True;207;132;75;1,76;11;24512,75;24522,75;24502,75;24510,0;24514,25;24509,75;2,75;0,011219910240718;17;4,5;24512,25;35,0;132,0;75,0;207,0;1,76;175;24505,18125
2025-09-15 20:43:56.404;2025-09-15 20:43:56.404;2025-09-15 20:53:56.404;2025-09-15 20:46:56.404;True;203;88;115;0,7652173913043478;-13;24489,5;24499,5;24479,5;24492,5;24492,75;24487,25;-3,25;-0,013269232732135;23;5,5;24491,5;24,0;88,0;115,0;203,0;0,7652173913043478;181;24500,38375
2025-09-15 21:54:10.404;2025-09-15 21:54:10.404;2025-09-15 22:04:10.404;2025-09-15 21:57:10.404;True;210;126;84;1,5;23;24521,75;24531,75;24511,75;24515,5;24523,5;24515,0;5,75;0,023454070810899;35;8,5;24521,5;20,0;126,0;84,0;210,0;1,5;187;24514,8825
