trade_id;entry_time;entry_time_2;exit_time;direction;entry_price;entry_price_2;avg_entry_price;exit_price;entry_sma;exit_sma;event_close;event_sma;tp_price;sl_price;exit_reason;pnl;pnl_usd;filter_passed;event_timestamp;has_grid_entry
1;2025-10-22 15:30:04.021;;2025-10-22 15:30:09.021;BUY;25259,5;;25259,5;25250,5;25265,76875;25265,44;25269,5;25265,8775;25264,5;25250,5;stop;-9,0;-180,0;True;2025-10-22 15:30:01.021;False
2;2025-10-22 15:30:42.021;;2025-10-22 15:30:48.021;BUY;25222,25;;25222,25;25227,25;25260,6175;25259,2775;25232,25;25262,3725;25227,25;25213,25;profit;5,0;100,0;True;2025-10-22 15:30:33.021;False
3;2025-10-22 15:33:54.021;;2025-10-22 15:34:06.021;BUY;25198,5;;25198,5;25189,5;25219,085;25217,29;25208,5;25220,2;25203,5;25189,5;stop;-9,0;-180,0;True;2025-10-22 15:33:47.021;False
4;2025-10-22 15:36:07.021;;2025-10-22 15:36:19.021;SELL;25194,75;;25194,75;25189,75;25195,135;25193,935;25184,75;25215,3775;25189,75;25203,75;profit;5,0;100,0;True;2025-10-22 15:34:18.021;False
5;2025-10-22 15:35:22.021;;2025-10-22 15:35:27.021;BUY;25174,75;;25174,75;25179,75;25204,60625;25203,37375;25184,75;25215,3775;25179,75;25165,75;profit;5,0;100,0;True;2025-10-22 15:34:18.021;False
6;2025-10-22 15:39:51.021;;2025-10-22 15:40:09.021;SELL;25224,0;;25224,0;25233,0;25196,50625;25199,815;25214,0;25195,79875;25219,0;25233,0;stop;-9,0;-180,0;True;2025-10-22 15:39:46.021;False
7;2025-10-22 15:40:01.021;;2025-10-22 15:40:42.021;SELL;25230,0;;25230,0;25225,0;25198,25125;25207,03875;25220,0;25196,19625;25225,0;25239,0;profit;5,0;100,0;True;2025-10-22 15:39:49.021;False
8;2025-10-22 15:55:05.021;;2025-10-22 15:55:21.021;BUY;25276,75;;25276,75;25267,75;25275,62;25275,80125;25286,75;25270,36625;25281,75;25267,75;stop;-9,0;-180,0;True;2025-10-22 15:54:14.021;False
9;2025-10-22 15:55:05.021;;2025-10-22 15:55:19.021;BUY;25278,0;;25278,0;25269,0;25275,62;25275,865;25288,0;25270,6225;25283,0;25269,0;stop;-9,0;-180,0;True;2025-10-22 15:54:16.021;False
10;2025-10-22 16:05:22.021;;2025-10-22 16:06:13.021;SELL;25254,5;;25254,5;25249,5;25258,39875;25254,9725;25244,5;25261,24625;25249,5;25263,5;profit;5,0;100,0;True;2025-10-22 16:05:01.021;False
11;2025-10-22 16:12:02.021;;2025-10-22 16:12:06.021;BUY;25237,75;;25237,75;25228,75;25251,96;25251,26125;25247,75;25260,05625;25242,75;25228,75;stop;-9,0;-180,0;True;2025-10-22 16:10:24.021;False
12;2025-10-22 16:12:05.021;;2025-10-22 16:12:40.021;BUY;25233,25;;25233,25;25238,25;25251,44875;25245,91875;25243,25;25258,83375;25238,25;25224,25;profit;5,0;100,0;True;2025-10-22 16:10:48.021;False
13;2025-10-22 16:12:47.021;;2025-10-22 16:13:15.021;SELL;25240,5;;25240,5;25235,5;25245,07875;25242,2375;25230,5;25251,44875;25235,5;25249,5;profit;5,0;100,0;True;2025-10-22 16:12:05.021;False
14;2025-10-22 16:13:38.021;;2025-10-22 16:13:56.021;BUY;25220,5;;25220,5;25225,5;25239,81375;25237,22375;25230,5;25251,44875;25225,5;25211,5;profit;5,0;100,0;True;2025-10-22 16:12:05.021;False
15;2025-10-22 16:15:21.021;;2025-10-22 16:15:27.021;SELL;25215,5;;25215,5;25210,5;25225,95;25225,31125;25205,5;25229,6675;25210,5;25224,5;profit;5,0;100,0;True;2025-10-22 16:15:02.021;False
16;2025-10-22 16:15:04.021;;2025-10-22 16:15:11.021;BUY;25195,5;;25195,5;25200,5;25229,23875;25227,63;25205,5;25229,6675;25200,5;25186,5;profit;5,0;100,0;True;2025-10-22 16:15:02.021;False
17;2025-10-22 16:15:04.021;;2025-10-22 16:15:05.021;SELL;25203,75;;25203,75;25198,75;25229,23875;25228,99875;25193,75;25229,23875;25198,75;25212,75;profit;5,0;100,0;True;2025-10-22 16:15:04.021;False
18;2025-10-22 16:27:05.021;;2025-10-22 16:27:06.021;SELL;25172,0;;25172,0;25167,0;25193,21375;25193,0175;25162,0;25193,21375;25167,0;25181,0;profit;5,0;100,0;True;2025-10-22 16:27:05.021;False
19;2025-10-22 16:27:07.021;;2025-10-22 16:27:10.021;BUY;25152,0;;25152,0;25157,0;25192,8;25192,2025;25162,0;25193,21375;25157,0;25143,0;profit;5,0;100,0;True;2025-10-22 16:27:05.021;False
20;2025-10-22 16:28:12.021;;2025-10-22 16:29:02.021;BUY;25143,75;;25143,75;25134,75;25179,5775;25165,075;25153,75;25193,0175;25148,75;25134,75;stop;-9,0;-180,0;True;2025-10-22 16:27:06.021;False
21;2025-10-22 16:27:20.021;;2025-10-22 16:27:23.021;SELL;25161,0;;25161,0;25156,0;25190,36625;25189,8325;25151,0;25192,8;25156,0;25170,0;profit;5,0;100,0;True;2025-10-22 16:27:07.021;False
22;2025-10-22 16:28:12.021;;2025-10-22 16:28:30.021;BUY;25141,0;;25141,0;25146,0;25179,5775;25174,84375;25151,0;25192,8;25146,0;25132,0;profit;5,0;100,0;True;2025-10-22 16:27:07.021;False
23;2025-10-22 16:28:12.021;;2025-10-22 16:29:02.021;BUY;25143,5;;25143,5;25134,5;25179,5775;25165,075;25153,5;25184,17625;25148,5;25134,5;stop;-9,0;-180,0;True;2025-10-22 16:27:52.021;False
24;2025-10-22 16:28:12.021;;2025-10-22 16:28:17.021;BUY;25139,75;;25139,75;25144,75;25179,5775;25178,2175;25149,75;25183,9625;25144,75;25130,75;profit;5,0;100,0;True;2025-10-22 16:27:53.021;False
25;2025-10-22 16:29:14.021;;2025-10-22 16:29:19.021;BUY;25130,5;;25130,5;25121,5;25160,84;25158,8825;25140,5;25179,5775;25135,5;25121,5;stop;-9,0;-180,0;True;2025-10-22 16:28:12.021;False
26;2025-10-22 16:30:01.021;;2025-10-22 16:30:02.021;SELL;25128,0;;25128,0;25123,0;25144,94;25144,61125;25118,0;25158,8825;25123,0;25137,0;profit;5,0;100,0;True;2025-10-22 16:29:19.021;False
27;2025-10-22 16:30:57.021;;2025-10-22 16:31:00.021;BUY;25108,0;;25108,0;25113,0;25134,70125;25134,07125;25118,0;25158,8825;25113,0;25099,0;profit;5,0;100,0;True;2025-10-22 16:29:19.021;False
28;2025-10-22 16:30:01.021;;2025-10-22 16:30:02.021;SELL;25127,0;;25127,0;25122,0;25144,94;25144,61125;25117,0;25144,94;25122,0;25136,0;profit;5,0;100,0;True;2025-10-22 16:30:01.021;False
29;2025-10-22 16:30:57.021;;2025-10-22 16:30:59.021;BUY;25107,0;;25107,0;25112,0;25134,70125;25134,27875;25117,0;25144,94;25112,0;25098,0;profit;5,0;100,0;True;2025-10-22 16:30:01.021;False
30;2025-10-22 16:30:57.021;;2025-10-22 16:30:58.021;SELL;25118,5;;25118,5;25113,5;25134,70125;25134,47625;25108,5;25134,70125;25113,5;25127,5;profit;5,0;100,0;True;2025-10-22 16:30:57.021;False
31;2025-10-22 16:31:08.021;;2025-10-22 16:31:09.021;BUY;25098,5;;25098,5;25103,5;25132,41625;25132,19875;25108,5;25134,70125;25103,5;25089,5;profit;5,0;100,0;True;2025-10-22 16:30:57.021;False
32;2025-10-22 16:31:22.021;;2025-10-22 16:31:23.021;SELL;25110,75;;25110,75;25105,75;25129,2825;25129,075;25100,75;25132,41625;25105,75;25119,75;profit;5,0;100,0;True;2025-10-22 16:31:08.021;False
