trade_id;entry_time;entry_time_2;exit_time;direction;entry_price;entry_price_2;avg_entry_price;exit_price;entry_sma;exit_sma;event_close;event_sma;tp_price;sl_price;exit_reason;pnl;pnl_usd;filter_passed;event_timestamp;has_grid_entry
1;2025-09-16 15:30:03.090;;2025-09-16 15:30:06.090;SELL;24596,5;;24596,5;24591,5;24597,40375;24597,3025;24586,5;24597,46;24591,5;24605,5;profit;5,0;100,0;True;2025-09-16 15:30:01.090;False
2;2025-09-16 15:30:41.090;;2025-09-16 15:30:46.090;BUY;24583,5;;24583,5;24588,5;24595,86;24595,41375;24593,5;24597,42875;24588,5;24574,5;profit;5,0;100,0;True;2025-09-16 15:30:02.090;False
3;2025-09-16 15:30:40.090;;2025-09-16 15:30:49.090;BUY;24585,25;;24585,25;24590,25;24595,96375;24595,1925;24595,25;24597,40375;24590,25;24576,25;profit;5,0;100,0;True;2025-09-16 15:30:03.090;False
4;2025-09-16 15:30:52.090;;2025-09-16 15:30:56.090;SELL;24592,25;;24592,25;24587,25;24595,02625;24594,79375;24582,25;24595,86;24587,25;24601,25;profit;5,0;100,0;True;2025-09-16 15:30:41.090;False
5;2025-09-16 15:34:31.090;;2025-09-16 15:34:42.090;BUY;24559,5;;24559,5;24564,5;24582,97125;24581,8;24569,5;24587,37;24564,5;24550,5;profit;5,0;100,0;True;2025-09-16 15:33:56.090;False
6;2025-09-16 15:49:44.090;;2025-09-16 15:50:04.090;SELL;24563,5;;24563,5;24558,5;24556,88375;24557,96375;24553,5;24557,18625;24558,5;24572,5;profit;5,0;100,0;True;2025-09-16 15:47:50.090;False
7;2025-09-16 15:48:11.090;;2025-09-16 15:50:57.090;SELL;24557,75;;24557,75;24552,75;24555,63375;24558,84625;24547,75;24556,1375;24552,75;24566,75;profit;5,0;100,0;True;2025-09-16 15:48:03.090;False
8;2025-09-16 15:50:58.090;;2025-09-16 15:51:11.090;BUY;24537,75;;24537,75;24542,75;24558,765;24557,6225;24547,75;24556,1375;24542,75;24528,75;profit;5,0;100,0;True;2025-09-16 15:48:03.090;False
9;2025-09-16 15:50:58.090;;2025-09-16 15:50:59.090;SELL;24546,75;;24546,75;24541,75;24558,765;24558,68375;24536,75;24558,765;24541,75;24555,75;profit;5,0;100,0;True;2025-09-16 15:50:58.090;False
10;2025-09-16 15:52:43.090;;2025-09-16 15:52:52.090;BUY;24527,0;;24527,0;24532,0;24547,12875;24545,76125;24537,0;24558,68375;24532,0;24518,0;profit;5,0;100,0;True;2025-09-16 15:50:59.090;False
11;2025-09-16 16:13:35.090;;2025-09-16 16:14:10.090;SELL;24536,0;;24536,0;24545,0;24537,21125;24536,3;24526,0;24540,15625;24531,0;24545,0;stop;-9,0;-180,0;True;2025-09-16 16:12:57.090;False
12;2025-09-16 17:03:22.090;;2025-09-16 17:04:05.090;BUY;24511,0;;24511,0;24516,0;24524,21875;24519,5575;24521,0;24535,855;24516,0;24502,0;profit;5,0;100,0;True;2025-09-16 17:01:37.090;False
13;2025-09-16 17:12:31.090;;2025-09-16 17:14:38.090;BUY;24523,75;;24523,75;24528,75;24528,7175;24525,45125;24533,75;24526,2325;24528,75;24514,75;profit;5,0;100,0;True;2025-09-16 17:10:34.090;False
