trade_id;entry_time;entry_time_2;exit_time;direction;entry_price;entry_price_2;avg_entry_price;exit_price;entry_sma;exit_sma;event_close;event_sma;tp_price;sl_price;exit_reason;pnl;pnl_usd;filter_passed;event_timestamp;has_grid_entry
1;2025-09-15 14:15:58.404;;2025-09-15 14:15:59.404;SELL;24403,0;;24403,0;24398,0;24389,18;24389,21875;24393,0;24389,1025;24398,0;24412,0;profit;5,0;100,0;True;2025-09-15 14:15:55.404;False
2;2025-09-15 15:30:04.404;;2025-09-15 15:30:06.404;SELL;24428,25;;24428,25;24423,25;24416,985;24417,16125;24418,25;24416,69;24423,25;24437,25;profit;5,0;100,0;True;2025-09-15 15:30:00.404;False
3;2025-09-15 15:30:03.404;;2025-09-15 15:30:13.404;SELL;24425,75;;24425,75;24434,75;24416,88375;24417,77875;24415,75;24416,72875;24420,75;24434,75;stop;-9,0;-180,0;True;2025-09-15 15:30:01.404;False
4;2025-09-15 15:51:07.404;;2025-09-15 15:51:32.404;SELL;24483,25;;24483,25;24492,25;24467,69125;24471,24875;24473,25;24459,24125;24478,25;24492,25;stop;-9,0;-180,0;True;2025-09-15 15:49:07.404;False
5;2025-09-15 16:30:03.404;;2025-09-15 16:30:04.404;SELL;24491,25;;24491,25;24486,25;24495,58125;24495,57875;24481,25;24495,58125;24486,25;24500,25;profit;5,0;100,0;True;2025-09-15 16:30:03.404;False
6;2025-09-15 20:45:25.404;;2025-09-15 20:46:26.404;SELL;24499,5;;24499,5;24494,5;24495,30625;24495,10125;24489,5;24500,38375;24494,5;24508,5;profit;5,0;100,0;True;2025-09-15 20:43:56.404;False
7;2025-09-15 21:55:58.404;;2025-09-15 21:57:29.404;SELL;24531,75;;24531,75;24540,75;24521,4275;24529,185;24521,75;24514,8825;24526,75;24540,75;stop;-9,0;-180,0;True;2025-09-15 21:54:10.404;False
8;2025-09-15 21:55:00.404;;2025-09-15 21:55:01.404;SELL;24529,75;;24529,75;24524,75;24517,6225;24517,6825;24519,75;24517,6225;24524,75;24538,75;profit;5,0;100,0;True;2025-09-15 21:55:00.404;False
9;2025-09-15 21:57:29.404;;2025-09-15 21:59:38.404;SELL;24541,25;;24541,25;24550,25;24529,185;24539,79375;24531,25;24524,92875;24536,25;24550,25;stop;-9,0;-180,0;True;2025-09-15 21:56:41.404;False
10;2025-09-15 22:00:25.404;;2025-09-15 22:07:28.404;BUY;24540,5;;24540,5;24531,5;24543,19625;24535,29875;24550,5;24539,96;24545,5;24531,5;stop;-9,0;-180,0;True;2025-09-15 21:59:40.404;False
11;2025-09-15 22:00:06.404;;2025-09-15 22:04:26.404;BUY;24543,5;;24543,5;24534,5;24542,17;24538,31375;24553,5;24540,4425;24548,5;24534,5;stop;-9,0;-180,0;True;2025-09-15 21:59:45.404;False
12;2025-09-15 21:59:56.404;;2025-09-15 22:00:01.404;SELL;24555,5;;24555,5;24550,5;24541,3775;24541,8525;24545,5;24540,92875;24550,5;24564,5;profit;5,0;100,0;True;2025-09-15 21:59:51.404;False
13;2025-09-15 22:00:51.404;;2025-09-15 22:01:04.404;BUY;24535,5;;24535,5;24540,5;24543,29125;24543,11625;24545,5;24540,92875;24540,5;24526,5;profit;5,0;100,0;True;2025-09-15 21:59:51.404;False
14;2025-09-15 22:00:08.404;;2025-09-15 22:06:25.404;BUY;24542,25;;24542,25;24533,25;24542,27625;24535,875;24552,25;24541,2625;24547,25;24533,25;stop;-9,0;-180,0;True;2025-09-15 21:59:55.404;False
15;2025-09-15 22:00:04.404;;2025-09-15 22:00:51.404;BUY;24544,75;;24544,75;24535,75;24542,05875;24543,29125;24554,75;24541,3775;24549,75;24535,75;stop;-9,0;-180,0;True;2025-09-15 21:59:56.404;False
16;2025-09-15 22:00:06.404;;2025-09-15 22:04:26.404;BUY;24543,0;;24543,0;24534,0;24542,17;24538,31375;24553,0;24541,48375;24548,0;24534,0;stop;-9,0;-180,0;True;2025-09-15 21:59:57.404;False
17;2025-09-15 22:00:08.404;;2025-09-15 22:00:20.404;BUY;24541,75;;24541,75;24546,75;24542,27625;24542,91875;24551,75;24541,5825;24546,75;24532,75;profit;5,0;100,0;True;2025-09-15 21:59:58.404;False
18;2025-09-15 22:00:08.404;;2025-09-15 22:06:25.404;BUY;24542,25;;24542,25;24533,25;24542,27625;24535,875;24552,25;24541,67625;24547,25;24533,25;stop;-9,0;-180,0;True;2025-09-15 21:59:59.404;False
19;2025-09-15 22:00:06.404;;2025-09-15 22:06:17.404;BUY;24542,75;;24542,75;24533,75;24542,17;24535,975;24552,75;24541,77125;24547,75;24533,75;stop;-9,0;-180,0;True;2025-09-15 22:00:00.404;False
20;2025-09-15 22:00:34.404;;2025-09-15 22:01:25.404;BUY;24537,5;;24537,5;24542,5;24543,3875;24542,90875;24547,5;24541,8525;24542,5;24528,5;profit;5,0;100,0;True;2025-09-15 22:00:01.404;False
